"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment","gene","id"
"692",147.319712352606,-0.190632438769356,0.236140974492854,-0.807282341316521,0.419503835389368,0.642750515064409,"Dofetilide","DNTTIP2_1936","DNTTIP2_1936/Dofetilide"
"693",0.954320477920509,-0.175694513058965,0.403160671499074,-0.435792788035797,0.662987076887584,NA,"Dofetilide","DOCK2_20159","DOCK2_20159/Dofetilide"
"694",0.6674894610538,-0.353382169201753,0.372395722804245,-0.948942610137101,0.342649801402746,NA,"Dofetilide","DPH2_1940","DPH2_1940/Dofetilide"
"695",42.9010453349074,-0.0913725318281667,0.157993752278243,-0.578330032109436,0.56304132219698,0.753717356362231,"Dofetilide","DPM2_1947","DPM2_1947/Dofetilide"
"696",0.432718029492306,-0.0533542298393396,0.36519841308344,-0.146096554442446,0.883845166390479,NA,"Dofetilide","DPP10_15296","DPP10_15296/Dofetilide"
"697",0.368105571804971,0.101505689633266,0.348642691639159,0.291145324618832,0.770940176581429,NA,"Dofetilide","DPPA5_13721","DPPA5_13721/Dofetilide"
"698",216.636501404777,0.134707053760918,0.125091533078312,1.076867877833,0.281539295486273,0.519999303587979,"Dofetilide","DPY30_18946","DPY30_18946/Dofetilide"
"699",0.597089820131015,-0.127337269632776,0.378633485786262,-0.336307469922661,0.736639017484442,NA,"Dofetilide","DPYS_16757","DPYS_16757/Dofetilide"
"700",33.0405919955117,-0.0140948133539832,0.253484548378223,-0.0556042308857123,0.955657093962332,0.976927681109348,"Dofetilide","DRAP1_1957","DRAP1_1957/Dofetilide"
"701",0.739213931332751,0.0330415434702649,0.393296143543896,0.0840118674252323,0.933046996286352,NA,"Dofetilide","DRD2_19254","DRD2_19254/Dofetilide"
"702",5.00131882012366,-0.499644347385756,0.353090146117774,-1.41506171406749,0.157050402323674,0.365440562222396,"Dofetilide","DSC3_25779","DSC3_25779/Dofetilide"
"703",19.7253057243614,0.351891403488755,0.255855650149686,1.37535130954851,0.169022556428321,0.383581778059096,"Dofetilide","DSG2_1967","DSG2_1967/Dofetilide"
"704",0.581738184769416,0.231410991833493,0.395950784015979,0.58444382780703,0.558921747032655,NA,"Dofetilide","DSG3_1968","DSG3_1968/Dofetilide"
"705",595.198745875841,-0.736828125114019,0.232166949329667,-3.17369947463003,0.00150509440434688,0.0127338908157243,"Dofetilide","DSP_21266","DSP_21266/Dofetilide"
"706",72.0422399284366,0.698219231275951,0.161697134181128,4.31806806479223,1.57400894768654e-05,0.000309822781641565,"Dofetilide","DTL_18569","DTL_18569/Dofetilide"
"707",7.95179736551382,0.120528033112394,0.3289588295917,0.366392454830874,0.714072249080497,0.847895838266512,"Dofetilide","DTX3L_23240","DTX3L_23240/Dofetilide"
"708",274.418501497826,-1.10981497594339,0.217704370289374,-5.09780751974898,3.43609934259395e-07,1.17829230546358e-05,"Dofetilide","DUSP1_24234","DUSP1_24234/Dofetilide"
"709",63.6123705978706,-0.107464875331802,0.155134631547493,-0.692720086158855,0.488485231297446,0.701107151170218,"Dofetilide","DUSP11_1981","DUSP11_1981/Dofetilide"
"710",93.9767666286127,-0.46623992909052,0.148638314519206,-3.13674122717717,0.00170836836195736,0.013963739704304,"Dofetilide","DUSP14_28218","DUSP14_28218/Dofetilide"
"711",230.085088103846,-0.314479603656208,0.121566843852466,-2.58688630625191,0.00968475419329994,0.0562369209343784,"Dofetilide","DUSP22_1986","DUSP22_1986/Dofetilide"
"712",611.324827374392,-0.82498592532663,0.227862402017796,-3.62054431982244,0.000293983885483037,0.00341623442829384,"Dofetilide","DUSP3_1987","DUSP3_1987/Dofetilide"
"713",0.615450981062791,-0.103388925201758,0.352242575655605,-0.293516265060596,0.769127568977532,NA,"Dofetilide","DUSP4_1990","DUSP4_1990/Dofetilide"
"714",1.71745453177995,-0.0913611966340678,0.398340624806883,-0.229354454314972,0.818593432826089,NA,"Dofetilide","DUSP4_27145","DUSP4_27145/Dofetilide"
"715",9.88816085207654,-0.559947654106118,0.325145793131533,-1.72214331519768,0.0850435602402473,0.254339577834786,"Dofetilide","DUSP6_1993","DUSP6_1993/Dofetilide"
"716",648.545072717018,-0.253668133458182,0.17586329396754,-1.44241659379474,0.149184885411908,0.357313909919158,"Dofetilide","DYNLL1_1997","DYNLL1_1997/Dofetilide"
"717",345.590351569938,-0.357346779059833,0.198338976696236,-1.80169720048079,0.0715930587916115,0.223607245774344,"Dofetilide","DYNLT3_2000","DYNLT3_2000/Dofetilide"
"718",156.064057079495,-0.154468582126036,0.190745902277191,-0.809813370992175,0.418047446594668,0.642048984459486,"Dofetilide","DYRK3_2006","DYRK3_2006/Dofetilide"
"719",2.71000506897248,0.423004980936391,0.398157052226445,1.06240735551712,0.28805079601111,NA,"Dofetilide","E2F1_2008","E2F1_2008/Dofetilide"
"720",0.483912493403869,0.588820105932191,0.348732281627374,1.68845884638049,0.0913231824624415,NA,"Dofetilide","E2F2_2009","E2F2_2009/Dofetilide"
"721",8.03259314437456,0.834884935914314,0.271205570469846,3.07842104595392,0.00208100664751024,0.0165195959796183,"Dofetilide","E2F7_12550","E2F7_12550/Dofetilide"
"722",116.244907264443,-0.270304609281367,0.187835000090628,-1.43905347326616,0.150135372888833,0.357313909919158,"Dofetilide","E2F8_17938","E2F8_17938/Dofetilide"
"723",28.1919694616772,0.265824436199977,0.20421186055722,1.30170909502826,0.193015849296155,0.413697303658093,"Dofetilide","EAPP_2012","EAPP_2012/Dofetilide"
"724",285.647807040741,0.109961498440639,0.143328168064405,0.76720089236909,0.442962082425925,0.659654475962277,"Dofetilide","EBNA1BP2_2014","EBNA1BP2_2014/Dofetilide"
"725",98.171009157235,0.110454409581854,0.125207860734722,0.88216833139474,0.377685784741908,0.611076678415411,"Dofetilide","EBP_2015","EBP_2015/Dofetilide"
"726",172.496380223012,-0.315499209226473,0.182665454489257,-1.72719691366179,0.0841323049559122,0.25279005647968,"Dofetilide","ECD_2021","ECD_2021/Dofetilide"
"727",44.5657699913859,-0.441546910450753,0.164164583492439,-2.68965998059556,0.00715248545695671,0.0443761234892758,"Dofetilide","ECH1_2022","ECH1_2022/Dofetilide"
"728",1708.0014129783,-0.0852997048424771,0.172833154915381,-0.493537856693294,0.621632597819984,0.7972934050497,"Dofetilide","ECI1_22689","ECI1_22689/Dofetilide"
