"","X233_S233_L001_R1_001","X231_S231_L001_R1_001","X229_S229_L001_R1_001","X121_S121_L001_R1_001","X123_S123_L001_R1_001","X125_S125_L001_R1_001","X133_S133_L001_R1_001","X135_S135_L001_R1_001","X137_S137_L001_R1_001","X277_S277_L001_R1_001","X279_S279_L001_R1_001","X281_S281_L001_R1_001","X283_S283_L001_R1_001","X285_S285_L001_R1_001","X287_S287_L001_R1_001","X006_S6_L001_R1_001","X004_S4_L001_R1_001","X002_S2_L001_R1_001","X012_S12_L001_R1_001","X010_S10_L001_R1_001","X008_S8_L001_R1_001","X024_S24_L001_R1_001","X022_S22_L001_R1_001","X020_S20_L001_R1_001","X098_S98_L001_R1_001","X100_S100_L001_R1_001","X102_S102_L001_R1_001","X110_S110_L001_R1_001","X112_S112_L001_R1_001","X248_S248_L001_R1_001","X250_S250_L001_R1_001","X252_S252_L001_R1_001","X260_S260_L001_R1_001","X262_S262_L001_R1_001","X264_S264_L001_R1_001"
"A2M_12371",16.0996009589185,36.1849999359234,42.1468257175773,13.9060504783254,24.7256146802169,13.6298852092369,64.5687732930925,39.4622308299581,85.4547709946054,22.912650458714,38.9626797724838,26.5822300481258,25.2031689068168,23.4562323595774,25.4121396395544,18.7860646306792,37.8923110321644,31.7924390202806,35.6104530779074,46.4219860124915,29.7242313330614,45.6793431447128,31.1175866411083,25.5896805603003,23.1963955056174,22.6014723823862,30.9684109814836,63.5162029449287,41.1700795298514,36.3627375802506,24.5003897953017,39.2523328147005,27.2029849060026,21.7396018454868,20.6135924509923
"AARS_3",158.312742762698,220.06387716133,136.824477691845,281.59752218609,278.16316515244,258.967818975502,176.542468750734,260.204084535036,268.572137411617,147.123334524374,172.675512628053,152.01712808772,162.601089721399,232.429938835812,258.659278474036,212.57915239979,273.283940171367,297.844955032103,117.669323213955,133.463209785913,123.32393850951,237.532584352506,165.219567165885,255.896805603003,252.067497827709,221.494429347385,205.448970413745,221.729290280478,164.065839320453,175.396734210621,161.077030781877,147.476621860946,209.536505357047,376.095111926922,416.394567510044
"AASDHPPT_21936",194.536844920265,195.694387408565,153.927537403326,106.613053667162,107.14433028094,132.89138079006,168.36920630857,194.844764722918,174.978816798478,185.713061612735,225.806439590531,201.858809427956,143.901964403438,136.472624637541,140.674344433248,146.333556070553,174.534281117848,95.3773170608418,213.662718467444,175.823272022312,184.669692537318,133.992739891157,140.029139884988,130.791700641535,95.8784347565518,116.623597493113,142.001494256559,162.832447549726,176.969894098466,131.191053230708,152.73647255369,171.028021549766,116.164097706714,102.176128673788,65.9634958431753
"AATF_26432",22.8077680251345,16.2463265018431,20.7680010782265,33.6062886559531,47.3907614704158,37.4821843254016,17.9811773727599,27.1302836955962,23.3983301532848,24.1185794302253,17.7103089874927,14.9525044020708,27.6421852526378,31.9857713994237,29.0424453023479,39.5496097487982,31.0027999354072,33.4657252845059,36.3845933622097,35.9770391596809,40.4755490492751,44.6642466303858,35.5629561612667,27.011329480317,27.8356746067409,37.9704736024088,27.9471025930462,38.1097217669572,23.3501943602142,19.9638559264121,16.6811164563757,10.654204621133,30.143848139084,60.8708851673632,53.5953403725799
"ABCA6_22690",1.34163341324321,0.738469386447415,2.44329424449724,4.6353501594418,4.12093578003615,0,0,0,2.03463740463346,0,0,0,0,2.13238475996158,1.81515283139675,0,0,0,0,1.16054965031229,0.632430453894923,1.01509651432695,0,2.84329784003337,0,0.904058895295449,0,0,1.84343639685902,0.712994854514719,1.04256977852348,0,0,0,0
"ABCA6_28368",2.68326682648641,1.47693877289483,3.05411780562155,0,0,0,0.817326244216361,3.69958414030857,2.03463740463346,2.41185794302253,0.885515449374633,0,0.813005448606993,1.06619237998079,0.907576415698373,0,0,0,0.774140284302334,0.580274825156144,1.26486090778985,0,4.44536952015833,0,0,0,3.77663548554679,0.577420026772079,0.614478798953007,0.712994854514719,0,0,0,4.34792036909737,0
"ABCB1_12",1.34163341324321,0.738469386447415,0,0,0,0,0,1.23319471343619,2.03463740463346,0,0,0,0.813005448606993,0,2.72272924709512,0,1.14825184945953,0,0,0,0.632430453894923,1.01509651432695,0.740894920026389,0,0,2.71217668588635,3.77663548554679,0.577420026772079,0.614478798953007,0,1.56385466778522,1.68224283491573,0,0,0
"ABCB10_14348",20.7953179052697,36.9234693223708,32.3736487395884,22.0179132573486,43.2698256903796,30.6672417207831,32.6930497686544,55.4937621046286,33.5715171764521,44.6193719459167,34.5351025256107,32.3970928711534,27.6421852526378,26.6548094995198,31.765174549443,27.6847268241588,29.8545480859477,26.7725802276047,41.0294350680237,45.2614363621792,30.9890922408512,23.3472198295199,41.4901155214778,22.746382720267,15.4642636704116,20.7933545917953,27.1917754959369,27.7161612850598,41.7845583288045,17.824871362868,37.0112271375835,39.2523328147005,20.5860426315695,13.0437611072921,45.349903392183
"ABCB11_21010",0,0,0,0,2.06046789001808,3.40747130230924,0.817326244216361,2.46638942687238,0,0,0,0.830694689003932,0,0,0.907576415698373,0,0,1.6732862642253,0,0,0,0,1.48178984005278,0,1.54642636704116,0.904058895295449,0,0,0,0,0,0,0,0,0
"ABCB6_26787",0,3.69234693223708,1.83247068337293,1.15883753986045,0,0,4.90395746529816,6.16597356718095,6.10391221390039,0,2.6565463481239,4.98416813402359,4.06502724303497,2.13238475996158,0,3.95496097487982,5.74125924729763,3.34657252845059,2.322420852907,1.74082447546843,2.52972181557969,2.0301930286539,4.44536952015833,1.42164892001668,0,1.8081177905909,3.02130838843743,1.15484005354416,2.45791519581203,0.712994854514719,1.56385466778522,1.68224283491573,0.735215808270341,0,0
