"","id","hillup_pod","gnlsup_pod","hilldown_pod","gnlsdown_pod","aic_ucnst","aic_uhill","aic_ugnls","aic_dcnst","aic_dhill","aic_dgnls","res.var_ucnst","res.var_uhill","res.var_ugnls","res.var_dcnst","res.var_dhill","res.var_dgnls","LL4_POD","LL4_AIC","LL4_RSS","LL4_PODSE"
"1","Dofetilide/ACADM_22566",NA,NA,-1.18636449908765,-1.18638278326462,29.8465651658696,NA,NA,29.8465651658696,23.2194896178535,27.2194896484266,0.166095026011968,NA,NA,0.166095026011968,0.110721228974863,0.110721241954657,-1.04615878491053,26.299189502385,2.84940834803911,1.51542014947031
"2","Dofetilide/ACE2_25221",NA,NA,-1.73001451677115,-1.59659193058725,48.7904614687378,NA,NA,48.7904614687378,41.0208286712805,43.7983168884986,0.353238157875345,NA,NA,0.353238157875345,0.224006708911624,0.219131944081796,-1.87374727482668,44.8106077021886,5.80714466711856,NA
"3","Dofetilide/ACTA1_12333",NA,NA,-1.51430524415402,-1.51430690517185,68.326321369138,74.3263213774516,78.3263213653297,68.326321369138,36.9598675585968,40.9598675930109,1.19341029044109,1.19341029110135,1.19341029044344,1.19341029044109,0.163888581872918,0.163888572927165,-1.58366618945415,36.7503721955483,4.25919400072097,0.151385265493084
"4","Dofetilide/ACTA2_14836",NA,NA,-1.02204048208517,-1.11841371312617,23.7707587591429,NA,NA,23.7707587591429,6.98040359972838,10.6367032582574,0.170659573892814,NA,NA,0.170659573892814,0.0513287575967973,0.0508716139066259,-1.03426674335818,6.42722591979638,1.32684651287889,0.0433383544136231
"5","Dofetilide/ACTL6A_19294",-1.8074367872233,-1.8171096375222,NA,NA,7.99214361093144,-0.685641196139041,3.1871368531689,7.99214361093144,NA,NA,0.0689034285389519,0.0413707665953046,0.0412711721718207,0.0689034285389519,NA,NA,-1.8390706903887,0.627800559284196,1.06157139909564,NA
"6","Dofetilide/ACTN2_90",NA,NA,-1.57721533647303,-1.57721494815322,22.5275950020129,NA,NA,22.5275950020129,-4.5901443330923,-0.590144292598053,0.17750797728128,NA,NA,0.17750797728128,0.0343228605698747,0.0343228591179848,-1.82253322385025,-4.26033140358016,0.87962920950343,NA
"7","Dofetilide/AGL_162",NA,NA,-1.51170820016505,-1.1583603973026,-4.87640823946815,1.12359175461369,5.12259010378264,-4.87640823946815,-19.4650839758289,-21.4662222126196,0.0565926343612714,0.0565926343614586,0.0566026506827656,0.0565926343612714,0.0178683103489713,0.014602761486546,-1.85461526398514,-20.9458875819249,0.463009839340415,0.12638805385958
"8","Dofetilide/ALDH7A1_227",-1.74740555557287,-1.22617142884546,NA,NA,51.8500662590637,50.6924731339519,51.9893871631502,51.8500662590637,NA,NA,0.377253212303844,0.294746121743836,0.278132685807537,0.377253212303844,NA,NA,-1.6996988389215,51.7128927315021,7.57278954633983,NA
"9","Dofetilide/ALDOA_232",NA,NA,-1.18004437971069,-1.17697617096574,16.4243154111403,22.4243154096694,26.4243154112888,16.4243154111403,-9.23905727597348,-5.23905775654158,0.128593884008995,0.128593884011838,0.128593884015184,0.128593884008995,0.0372136556250188,0.0372136565745184,-1.79327623235028,-1.91882922185233,0.9625232695846,NA
"10","Dofetilide/AMHR2_28375",-1.39176844336437,-1.36686822260926,NA,NA,27.4692990225,15.6361879831239,19.1087364669281,27.4692990225,NA,NA,0.154704974341114,0.0803520643790581,0.0797427961587288,0.154704974341114,NA,NA,-1.21431709928612,17.4578211078523,2.02801756105964,0.326580975470487
"11","Dofetilide/AMY2A_256",NA,NA,-1.05662028095044,-1.0471970921745,35.4587508028925,41.4587508029885,45.4587508769617,35.4587508028925,27.7884052507059,31.7701747673828,0.21469141700072,0.214691417017582,0.214691417047628,0.21469141700072,0.147254015383068,0.147215169935169,-1.31571829574162,33.6542964217182,3.78104377783556,NA
"12","Dofetilide/ANLN_12002",-1.00386728838739,-0.973712891559629,NA,NA,14.7741568828207,6.87706420827986,10.3089047552203,14.7741568828207,NA,NA,0.095239264312726,0.0580386047248861,0.0585364266034489,0.095239264312726,NA,NA,-1.00461952486606,9.45010593755805,1.49043749845062,0.0404250813351369
"13","Dofetilide/ARHGEF9_28393",-1.08042975663236,-1.06550659072011,NA,NA,-7.29291436670542,-11.7656571017935,-8.15647410352719,-7.29291436670542,-1.29291436819504,2.56203315886306,0.0368837883965971,0.025903306742663,0.0256877727235951,0.0368837883965971,0.0368837883970151,0.0368715388693158,-1.53905690099276,-11.2425949840552,0.67246621116448,0.471969695494714
"14","Dofetilide/ASF1B_26041",-1.11500397352414,-1.16330699135464,NA,NA,44.8230657764123,31.4642114486769,35.1257753807981,44.8230657764123,50.8230657766501,54.8098434123166,0.315927208062524,0.156971602386473,0.15609689005902,0.315927208062524,0.315927208066712,0.315081756466793,-1.31368926338767,35.2955620263029,4.02741891646373,0.2014413874613
"15","Dofetilide/ASPN_490",NA,NA,0.0843668841985153,0.0855983182345169,54.4310537008758,60.4310536986091,64.4310537288591,54.4310537008758,53.1376177002422,57.1376223509519,0.441944375996491,0.441944376011755,0.441944378126168,0.441944375996491,0.333912579989474,0.33394585865594,-1.85436768820251,50.8578727886256,7.32780573697751,0.114499298862099
"16","Dofetilide/ATAD2_22038",-1.0666821382748,-1.06531583574397,NA,NA,22.978125644563,16.0376700794448,20.0376698399264,22.978125644563,28.9781256469213,32.9211022526143,0.124521395544761,0.0742283601655149,0.0742283596024351,0.124521395544761,0.124521395562371,0.124401839806057,-1.31831752163524,15.6792925983703,1.89392955881874,NA
